Context_post_signaller,Communication_number
Carrying,202038
Resting,200807
Sexual interaction,202075
Resting,202444
Resting,202004
Other,201005
Grooming,201921
Affiliating,201931a
Resting,201004
Sexual interaction,202060a
Traveling,202045
Carrying,202044
Other,202442
Sexual interaction,201003
Sexual interaction,202069
Sexual interaction,202443
Sexual interaction,202067
Sexual interaction,202070
Resting,201993
Sexual interaction,202071
Sexual interaction,202053
Unknown,202056
Resting,200604
Sexual interaction,202064
Sexual interaction,200997
Carrying,202000
Traveling,202036a
Carrying,201930
Sexual interaction,202065
Sexual interaction,202077
Sexual interaction,202061
Resting,201940
Sexual interaction,202073
Sexual interaction,202076
Sexual interaction,202062
Resting,202005
Sexual interaction,202063
Sexual interaction,202445a
Grooming,201929
Other,201936
Grooming,201928
Sexual interaction,202072a
Sexual interaction,201998
Feeding,202034
Resting,201995
Other,202369
Unknown,201002
Other,202074a
Resting,201926
Traveling,202003
Resting,201927
Sexual interaction,202447
Resting,201001
Carrying,201990
Grooming,202041
Affiliating,201937
Unknown,202446
Grooming,202029
Feeding,200730
Feeding,200590a
Feeding,200717
Carrying,201987
Grooming,202027
Grooming,202031
Resting,201030
Affiliating,202019
Carrying,201988
Feeding,200753
Grooming,202256a
Grooming,202026
Resting,200718
Feeding,202022
Affiliating,201959
Unknown,201961
Feeding,202018
Other,201960
Grooming,201962
Resting,202328
Affiliating,201970
Resting,202016
Grooming,202011a
Resting,201965
Sexual interaction,202097
Carrying,202103a
Nursing,202010
Agonistic interaction,202015
Sexual interaction,200995a
Resting,201945
Resting,201944
Resting,202083
Other,201947
Traveling,201946
Sexual interaction,201406
Unknown,200996
Resting,201980
Carrying,202102
Nursing,201971
Grooming,202017
Agonistic interaction,201834
Affiliating,201967
Sexual interaction,202094
Sexual interaction,200998a
Traveling,201991
Sexual interaction,202091
Other,201974
Resting,202082
Resting,200537
Unknown,201975
Unknown,201972
Unknown,201006
Traveling,202085
Other,202093
Affiliating,201969
Other,201984
Sexual interaction,200992a
Sexual interaction,200993a
Sexual interaction,200806
Sexual interaction,200805
